"Season" "Team" "Player" "Position" "Matches" "Goals"
"2816" "2005-06" "Racing de Santander" "Sergio Matabuena Delgado" "Defender" 10 3
"2817" "2005-06" "Racing de Santander" "Antonio Tom†s Gonz†lez" "Midfielder" 4 0
"2818" "2005-06" "Racing de Santander" "Jonatan Valle Trueba" "Forward" 3 0
"2819" "2005-06" "Racing de Santander" "Francisco Borja Enrique Ayesa" "Midfielder" 11 0
"2820" "2005-06" "Racing de Santander" "David Aganzo MÇndez" "Forward" 3 3
"2821" "2005-06" "Racing de Santander" "Stephane Dalmat" "Midfielder" 4 0
"2822" "2005-06" "Racing de Santander" "Mauricio Ricardo Pinilla Ferrera" "Forward" 3 1
"2823" "2005-06" "Racing de Santander" "Hoalid Regragui" "Defender" 6 0
"2824" "2005-06" "Racing de Santander" "Ra£l Mart°n Del Campo" "Forward" 1 0
"2825" "2005-06" "Racing de Santander" "Wilfred Dalmat" "Midfielder" 3 1
"2826" "2005-06" "Racing de Santander" "Ezequiel Marcelo Garay Gonz†lez" "Defender" 7 0
"2827" "2005-06" "Racing de Santander" "Samuel San JosÇ Fern†ndez" "Defender" 6 0
"2828" "2005-06" "Racing de Santander" "Cristian Portilla Rodr°guez" "Midfielder" 1 0
"2829" "2005-06" "Racing de Santander" "Lee Ho Jin" "Midfielder" 1 0
"2831" "2005-06" "AlavÇs" "David Coromina Pararols" "Midfielder" 21 0
"2832" "2005-06" "AlavÇs" "Gaspar G†lvez Burgos" "Midfielder" 16 0
"2833" "2005-06" "AlavÇs" "Josu Sarriegi Zum†rraga" "Defender" 29 2
"2834" "2005-06" "AlavÇs" "Anderson Luis Carvalho" "Midfielder" 29 9
"2835" "2005-06" "AlavÇs" "Eduardo Alonso µlvarez" "Midfielder" 34 0
"2836" "2005-06" "AlavÇs" "Juan Jes£s GutiÇrrez Robles" "Midfielder" 32 0
"2837" "2005-06" "AlavÇs" "Mart°n Mauricio Astudillo" "Midfielder" 25 1
"2838" "2005-06" "AlavÇs" "Santiago Carpintero Fern†ndez" "Midfielder" 16 2
"2839" "2005-06" "AlavÇs" "Rodolfo Bodipo D°az" "Forward" 6 7
"2840" "2005-06" "AlavÇs" "John Aloisi" "Forward" 18 10
"2841" "2005-06" "AlavÇs" "Alejandro Castro Fern†ndez" "Midfielder" 7 0
"2842" "2005-06" "AlavÇs" "Enrique De Lucas Mart°nez" "Midfielder" 7 2
"2843" "2005-06" "AlavÇs" "Mehdi Gregory Giuseppe Lacen" "Midfielder" 6 0
"2844" "2005-06" "AlavÇs" "RubÇn Navarro MÇndez" "Forward" 1 0
"2845" "2005-06" "AlavÇs" "Mauricio AndrÇs Pellegrino Luna" "Defender" 11 0
"2846" "2005-06" "AlavÇs" "Hip¢lito Fern†ndez Serrano" "Midfielder" 6 0
"2848" "2005-06" "AlavÇs" "JosÇ Mar°a Mena Garc°a" "Forward" 1 0
"2850" "2005-06" "AlavÇs" "Ibon Bego§a Zubiaur" "Defender" 3 0
"2851" "2005-06" "AlavÇs" "Llu°s Carreras Ferrer" "Midfielder" 2 0
"2853" "2005-06" "AlavÇs" "‡scar TÇllez G¢mez" "Defender" 1 0
"2857" "2005-06" "C†diz" "Alejandro Varela L¢pez" "Midfielder" 26 0
"2858" "2005-06" "C†diz" "Ra£l L¢pez GutiÇrrez" "Midfielder" 24 1
"2859" "2005-06" "C†diz" "Ram¢n De Quintana Dalmau" "Defender" 28 0
"2860" "2005-06" "C†diz" "Abraham Paz Cruz" "Defender" 18 1
"2861" "2005-06" "C†diz" "Enrique Fernando Ortiz Moruno" "Midfielder" 8 4
"2862" "2005-06" "C†diz" "JosÇ AndrÇs Fleurquin Rubio" "Midfielder" 26 1
"2863" "2005-06" "C†diz" "Mat°as Nicol†s Pavoni Escabuso" "Midfielder" 11 4
"2864" "2005-06" "C†diz" "Roberto Su†rez µlvarez" "Midfielder" 8 0
"2865" "2005-06" "C†diz" "Juan JosÇ Bezares Alarc¢n" "Midfielder" 14 0
"2866" "2005-06" "C†diz" "Jonathan Sesma Gonz†lez" "Forward" 25 7
"2867" "2005-06" "C†diz" "Oliverio Jes£s µlvarez Gonz†lez" "Forward" 5 1
"2868" "2005-06" "C†diz" "Fabi†n Larry Estoyanoff Poggio" "Midfielder" 4 2
"2869" "2005-06" "C†diz" "Lucas Armando Lobos" "Midfielder" 9 7
"2870" "2005-06" "C†diz" "JosÇ Juli†n De la Cuesta Herrera" "Defender" 14 0
"2871" "2005-06" "C†diz" "Alexandre Jes£s Medina Reobasco" "Forward" 7 4
"2872" "2005-06" "C†diz" "Manuel Eduardo Berizzo" "Defender" 13 0
"2873" "2005-06" "C†diz" "Benjam°n Zarandona Esono" "Midfielder" 5 0
"2874" "2005-06" "C†diz" "Nenad Mirosavljevic" "Forward" 2 3
"2875" "2005-06" "C†diz" "Fernando Mor†n Escudero" "Midfielder" 3 0
"2876" "2005-06" "C†diz" "Luciano Germ†n Vella" "Midfielder" 8 0
"2878" "2005-06" "C†diz" "Mario Fernando Magalhaes Da Silva" "Midfielder" 6 0
"2880" "2005-06" "C†diz" "Marc Bertr†n Vilanova" "Midfielder" 1 0
"2881" "2005-06" "M†laga" "Alexis Ruano Delgado" "Defender" 28 3
"2882" "2005-06" "M†laga" "Vicente Valcarce Cano" "Midfielder" 11 0
"2883" "2005-06" "M†laga" "Fernando Sanz Dur†n" "Defender" 22 1
"2884" "2005-06" "M†laga" "CÇsar Gonz†lez Navas" "Defender" 23 2
"2885" "2005-06" "M†laga" "Ignacio PÇrez Santamaria" "Midfielder" 25 3
"2886" "2005-06" "M†laga" "Gerardo Garc°a Le¢n" "Midfielder" 25 2
"2887" "2005-06" "M†laga" "Juan Antonio Rodr°guez Villamuela" "Midfielder" 22 1
"2888" "2005-06" "M†laga" "Salvador Ballesta Vialcho" "Forward" 20 6
"2889" "2005-06" "M†laga" "Edgar Patricio Carvalho Pacheco" "Forward" 15 4
"2890" "2005-06" "M†laga" "Pablo Gonz†lez Cou§ago" "Forward" 5 3
"2891" "2005-06" "M†laga" "Antonio Hidalgo Morilla" "Midfielder" 5 4
"2892" "2005-06" "M†laga" "Ricardo Souza B¢vio" "Midfielder" 8 1
"2893" "2005-06" "M†laga" "Richard Javier Morales Aguirre" "Forward" 3 1
"2894" "2005-06" "M†laga" "Jes£s G†mez Duarte" "Midfielder" 8 0
"2895" "2005-06" "M†laga" "Gabriel Rodrigues Dos Santos" "Midfielder" 7 0
"2896" "2005-06" "M†laga" "Sergio Paulo Barbosa Valente" "Midfielder" 9 4
"2897" "2005-06" "M†laga" "Anderson Silva De Franáa" "Midfielder" 4 0
"2898" "2005-06" "M†laga" "Antonio Manuel S†nchez G¢mez" "Midfielder" 2 0
"2899" "2005-06" "M†laga" "Carlos Manuel de Oliveira Magalhaes" "Defender" 6 1
"2900" "2005-06" "M†laga" "Francisco Esteban Granado" "Forward" 1 0
"2901" "2005-06" "M†laga" "Jorge Miguel De Oliveira Ribeiro" "Midfielder" 3 0
"2904" "2005-06" "M†laga" "Sa£l Fern†ndez Garc°a" "Midfielder" 1 0
"2908" "2006-07" "Real Madrid" "Sergio Ramos Garc°a" "Midfielder" 30 5
"2909" "2006-07" "Real Madrid" "Roberto Carlos Da Silva Rocha" "Midfielder" 19 3
"2910" "2006-07" "Real Madrid" "Iv†n Helguera Buj°a" "Defender" 20 1
"2911" "2006-07" "Real Madrid" "Fabio Cannavaro" "Defender" 28 0
"2912" "2006-07" "Real Madrid" "Mahamadou Diarra" "Midfielder" 28 3
"2913" "2006-07" "Real Madrid" "Emerson Ferreira Da Rosa" "Midfielder" 21 1
"2914" "2006-07" "Real Madrid" "JosÇ Mar°a GutiÇrrez Hern†ndez" "Midfielder" 9 1
"2915" "2006-07" "Real Madrid" "Rutgerus Johannes Martinus Van Nistelrooy" "Forward" 30 25
"2916" "2006-07" "Real Madrid" "Ra£l Gonz†lez Blanco" "Forward" 20 7
"2917" "2006-07" "Real Madrid" "Robson De Souza" "Forward" 7 6
"2918" "2006-07" "Real Madrid" "JosÇ Antonio Reyes Calder¢n" "Forward" 3 6
"2919" "2006-07" "Real Madrid" "David Robert Joseph Beckham" "Midfielder" 9 3
"2920" "2006-07" "Real Madrid" "Miguel Torres G¢mez" "Midfielder" 15 0
"2921" "2006-07" "Real Madrid" "Miguel µngel Salgado Fern†ndez" "Midfielder" 10 0
"2922" "2006-07" "Real Madrid" "Gonzalo Gerardo Higua°n" "Forward" 8 2
"2923" "2006-07" "Real Madrid" "Fernando RubÇn Gago" "Midfielder" 7 0
"2924" "2006-07" "Real Madrid" "µlvaro Mej°a PÇrez" "Defender" 3 0
"2926" "2006-07" "Real Madrid" "C°cero Joao De CÇzare" "Midfielder" 3 0
"2927" "2006-07" "Real Madrid" "Ra£l Bravo SanfÇlix" "Midfielder" 3 0
"2929" "2006-07" "Real Madrid" "Marcelo Vieira Da Silva Junior" "Midfielder" 1 0
"2932" "2006-07" "Barcelona" "Gianluca Zambrotta" "Midfielder" 21 3
"2933" "2006-07" "Barcelona" "Giovanni Van Bronckhorst" "Midfielder" 16 0
"2934" "2006-07" "Barcelona" "Carles Puyol Saforcada" "Defender" 32 1
"2935" "2006-07" "Barcelona" "Ruddy Lilian Thuram Ulien" "Defender" 18 0
"2936" "2006-07" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 29 3
"2937" "2006-07" "Barcelona" "Anderson Luis De Souza" "Midfielder" 18 1
"2938" "2006-07" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 23 6
"2939" "2006-07" "Barcelona" "JosÇ Edmilson Gomes Moraes" "Midfielder" 13 0
"2940" "2006-07" "Barcelona" "Ronaldo De Assis Moreira" "Forward" 25 21
"2941" "2006-07" "Barcelona" "Lionel AndrÇs Messi Cuccittini" "Forward" 14 14
"2942" "2006-07" "Barcelona" "Ludovic Giuly" "Forward" 5 3
"2943" "2006-07" "Barcelona" "Rafael M†rquez µlvarez" "Defender" 16 1
"2944" "2006-07" "Barcelona" "Eidur Smari Gudjohnsen" "Forward" 2 5
"2945" "2006-07" "Barcelona" "Oleguer Presas Renom" "Defender" 9 0
"2946" "2006-07" "Barcelona" "Samuel Eto'o Fils" "Forward" 14 11
"2947" "2006-07" "Barcelona" "Silvio Mendes De Campos Junior" "Midfielder" 6 0
"2949" "2006-07" "Barcelona" "Juliano Haus Belletti" "Midfielder" 6 0
"2950" "2006-07" "Barcelona" "Thiago Motta" "Midfielder" 4 0
"2951" "2006-07" "Barcelona" "Santiago Ezquerro Mar°n" "Forward" 1 1
"2953" "2006-07" "Sevilla" "Daniel Alves Da Silva" "Midfielder" 33 3
"2954" "2006-07" "Sevilla" "Ivica Dragutinovic" "Midfielder" 17 1
"2955" "2006-07" "Sevilla" "Julien EscudÇ" "Defender" 26 1
"2956" "2006-07" "Sevilla" "Francisco Javier Vicente Navarro" "Defender" 18 0
"2957" "2006-07" "Sevilla" "Christian Poulsen" "Midfielder" 21 1
"2958" "2006-07" "Sevilla" "Renato Dirnei Florencio Santos" "Midfielder" 19 4
"2959" "2006-07" "Sevilla" "Adriano Correia Claro" "Midfielder" 9 2
"2960" "2006-07" "Sevilla" "Frederic KanoutÇ" "Forward" 23 21
"2961" "2006-07" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 18 1
"2962" "2006-07" "Sevilla" "Luis Fabiano Clemente" "Forward" 8 10
"2963" "2006-07" "Sevilla" "Antonio JosÇ Puerta PÇrez" "Midfielder" 18 2
"2964" "2006-07" "Sevilla" "Josep Llu°s Mart° Soler" "Midfielder" 11 2
"2965" "2006-07" "Sevilla" "David Castedo Escudero" "Midfielder" 14 0
"2966" "2006-07" "Sevilla" "Enzo Maresca" "Midfielder" 7 2
"2967" "2006-07" "Sevilla" "Aitor Ocio Carri¢n" "Defender" 11 0
"2968" "2006-07" "Sevilla" "Ernesto Javier Chevant¢n Espinosa" "Forward" 1 4
"2969" "2006-07" "Sevilla" "Aleksandr Anatolyevich Kerzhakov" "Forward" 2 5
"2970" "2006-07" "Sevilla" "Andreas Hinkel" "Defender" 2 0
"2971" "2006-07" "Sevilla" "Kepa Blanco Gonz†lez" "Forward" 1 3
"2972" "2006-07" "Sevilla" "Sergio Paulo Barbosa Valente" "Midfielder" 1 0
"2973" "2006-07" "Sevilla" "Alejandro Alfaro Ligero" "Forward" 1 1
"2975" "2006-07" "Valencia" "Luis Miguel Brito Garc°a Monteiro" "Midfielder" 27 0
"2976" "2006-07" "Valencia" "Emiliano Moretti" "Midfielder" 21 2
"2977" "2006-07" "Valencia" "Ra£l Albiol Tortajada" "Defender" 33 1
"2978" "2006-07" "Valencia" "Roberto Fabi†n Ayala" "Defender" 27 2
"2979" "2006-07" "Valencia" "David Albelda AliquÇs" "Midfielder" 15 0
"2980" "2006-07" "Valencia" "Vicente Rodr°guez GuillÇn" "Midfielder" 6 4
"2981" "2006-07" "Valencia" "David Villa S†nchez" "Forward" 21 15
"2982" "2006-07" "Valencia" "David JosuÇ JimÇnez Silva" "Forward" 17 4
"2983" "2006-07" "Valencia" "Miguel µngel Angulo Valderrey" "Forward" 13 6
"2984" "2006-07" "Valencia" "Joaqu°n S†nchez Rodr°guez" "Forward" 12 5
"2985" "2006-07" "Valencia" "Fernando Morientes S†nchez" "Forward" 9 12
"2986" "2006-07" "Valencia" "Carlos Marchena L¢pez" "Defender" 16 0
"2987" "2006-07" "Valencia" "Crist¢bal Emilio Torres Ruiz" "Midfielder" 12 0
"2988" "2006-07" "Valencia" "Hugo Miguel Ferreira Gomes Viana" "Midfielder" 4 2
"2989" "2006-07" "Valencia" "David Navarro Pedr¢s" "Defender" 10 1
"2990" "2006-07" "Valencia" "RubÇn Baraja Vegas" "Midfielder" 4 1
"2992" "2006-07" "Valencia" "Eduardo CÇsar Daud Gaspar" "Midfielder" 7 0
"2993" "2006-07" "Valencia" "Miguel Pallard¢ Gonz†lez" "Midfielder" 1 0
"2994" "2006-07" "Valencia" "Jaime Gavil†n Mart°nez" "Midfielder" 1 0
"2995" "2006-07" "Valencia" "Asier Del Horno Cosgaya" "Midfielder" 5 0
"2996" "2006-07" "Valencia" "David Cerrajer°a Rubio" "Midfielder" 3 0
"2997" "2006-07" "Valencia" "Mario Ignacio Regueiro Pintos" "Forward" 1 0
"3000" "2006-07" "Valencia" "David C¢rcoles Alcaraz" "Midfielder" 1 0
"3002" "2006-07" "Villarreal" "Javier Rodr°guez Venta" "Midfielder" 18 0
"3003" "2006-07" "Villarreal" "JosÇ Enrique S†nchez D°az" "Midfielder" 22 0
"3004" "2006-07" "Villarreal" "Fabricio Fabio Fuentes" "Defender" 31 4
"3005" "2006-07" "Villarreal" "Pascal Cygan" "Defender" 18 1
"3006" "2006-07" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 27 0
"3007" "2006-07" "Villarreal" "RubÇn Gracia Calmache" "Midfielder" 17 4
"3008" "2006-07" "Villarreal" "JosÇ Joaqu°n Moreno Verd£" "Midfielder" 8 1
"3009" "2006-07" "Villarreal" "Marcos Garc°a Barreno" "Midfielder" 9 3
"3010" "2006-07" "Villarreal" "Diego Mart°n Forl†n Corazo" "Forward" 26 19
"3011" "2006-07" "Villarreal" "Guillermo Luis Franco Farcuas¢n" "Forward" 3 2
"3012" "2006-07" "Villarreal" "JosÇ Miguel Gonz†lez Rey" "Midfielder" 18 0
"3013" "2006-07" "Villarreal" "Rodolfo Mart°n Arruabarrena" "Midfielder" 14 1
"3014" "2006-07" "Villarreal" "Leandro Daniel Somoza" "Midfielder" 6 0
"3015" "2006-07" "Villarreal" "Mat°as Ariel Fern†ndez Fern†ndez" "Midfielder" 4 1
"3016" "2006-07" "Villarreal" "Alessio Tacchinardi" "Midfielder" 5 1
"3017" "2006-07" "Villarreal" "Enrique µlvarez Sanju†n" "Defender" 12 0
"3018" "2006-07" "Villarreal" "JosÇ Mar°a Romero Poy¢n" "Forward" 3 0
"3019" "2006-07" "Villarreal" "Juan Rom†n Riquelme" "Midfielder" 13 1
"3020" "2006-07" "Villarreal" "Robert Piräs" "Midfielder" 1 3
"3021" "2006-07" "Villarreal" "Jon Dahl Tomasson" "Forward" 2 4
"3022" "2006-07" "Villarreal" "Nihat Kahveci" "Forward" 2 0
"3023" "2006-07" "Villarreal" "Juan Manuel Pe§a Montano" "Defender" 4 0
"3024" "2006-07" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 6 0
"3027" "2006-07" "Real Zaragoza" "Carlos AndrÇs Diogo Ense§at" "Midfielder" 27 4
"3028" "2006-07" "Real Zaragoza" "Juan Francisco Garc°a Garc°a" "Midfielder" 32 0
"3029" "2006-07" "Real Zaragoza" "Gabriel Alejandro Milito" "Defender" 32 1
"3030" "2006-07" "Real Zaragoza" "Sergio Fern†ndez Gonz†lez" "Defender" 26 0
"3031" "2006-07" "Real Zaragoza" "Alberto Zapater Arjol" "Midfielder" 34 0
"3032" "2006-07" "Real Zaragoza" "AndrÇs Nicol†s D'Alessandro" "Midfielder" 12 2
"3033" "2006-07" "Real Zaragoza" "Pablo CÇsar Aimar Giordano" "Midfielder" 17 5
"3034" "2006-07" "Real Zaragoza" "Diego Alberto Milito" "Forward" 29 23
"3035" "2006-07" "Real Zaragoza" "Sergio Garc°a De la Fuente" "Forward" 4 6
"3036" "2006-07" "Real Zaragoza" "Ewerthon Henrique De Souza" "Forward" 5 6
"3037" "2006-07" "Real Zaragoza" "Gerard PiquÇ Bernabeu" "Defender" 14 2
"3038" "2006-07" "Real Zaragoza" "‡scar Javier Gonz†lez Marcos" "Midfielder" 1 3
"3039" "2006-07" "Real Zaragoza" "Albert Celades L¢pez" "Midfielder" 8 1
"3040" "2006-07" "Real Zaragoza" "JosÇ Mar°a Movilla Cubero" "Midfielder" 9 0
"3041" "2006-07" "Real Zaragoza" "µngel Lafita Castillo" "Midfielder" 1 1
"3042" "2006-07" "Real Zaragoza" "Jes£s Mar°a Herrero G¢mez" "Midfielder" 7 0
"3043" "2006-07" "Real Zaragoza" "Leonardo Daniel Ponzio" "Midfielder" 5 0
"3047" "2006-07" "Real Zaragoza" "Luis Carlos Cuartero Laforga" "Defender" 1 0
"3048" "2006-07" "AtlÇtico de Madrid" "Georgios Seitaridis" "Midfielder" 22 0
"3049" "2006-07" "AtlÇtico de Madrid" "Antonio L¢pez Guerrero" "Midfielder" 29 0
"3050" "2006-07" "AtlÇtico de Madrid" "Luis Amaranto Perea Mosquera" "Defender" 21 0
"3051" "2006-07" "AtlÇtico de Madrid" "Pablo Ib†§ez Tebar" "Defender" 21 2
"3052" "2006-07" "AtlÇtico de Madrid" "Peter Bernard Luccin" "Midfielder" 23 0
"3053" "2006-07" "AtlÇtico de Madrid" "Nuno Ricardo De Oliveira Ribeiro" "Midfielder" 18 4
"3054" "2006-07" "AtlÇtico de Madrid" "JosÇ Manuel Jurado Mar°n" "Midfielder" 10 0
"3055" "2006-07" "AtlÇtico de Madrid" "Fernando JosÇ Torres Sanz" "Forward" 28 14
"3056" "2006-07" "AtlÇtico de Madrid" "Luciano Mart°n Galletti" "Forward" 14 4
"3057" "2006-07" "AtlÇtico de Madrid" "Sergio Leonel AgÅero Del Castillo" "Forward" 14 6
"3058" "2006-07" "AtlÇtico de Madrid" "JosÇ Eduardo Rosa Vale Castro" "Defender" 20 2
"3059" "2006-07" "AtlÇtico de Madrid" "Miguel µngel Ferrer Mart°nez" "Forward" 4 3
"3060" "2006-07" "AtlÇtico de Madrid" "Mariano AndrÇs Pern°a Molina" "Midfielder" 12 0
"3061" "2006-07" "AtlÇtico de Madrid" "Francisco JosÇ Rodrigues Da Costa" "Midfielder" 7 0
"3062" "2006-07" "AtlÇtico de Madrid" "Gabriel Fern†ndez Arenas" "Midfielder" 5 0
"3063" "2006-07" "AtlÇtico de Madrid" "Martin Petrov" "Forward" 5 2
"3064" "2006-07" "AtlÇtico de Madrid" "Fabiano Eller Dos Santos" "Defender" 9 1
"3065" "2006-07" "AtlÇtico de Madrid" "Maximiliano RubÇn Rodr°guez" "Midfielder" 3 6
"3066" "2006-07" "AtlÇtico de Madrid" "Juan Valera Esp°n" "Midfielder" 2 0
"3072" "2006-07" "Recreativo de Huelva" "Roberto Luis Gaspar De Deus Severo" "Defender" 19 2
"3073" "2006-07" "Recreativo de Huelva" "Daniel Bautista Pina" "Midfielder" 17 0
"3074" "2006-07" "Recreativo de Huelva" "Pedro Mario µlvarez Abrante" "Defender" 19 1
"3075" "2006-07" "Recreativo de Huelva" "Juan Merino Ruiz" "Defender" 20 0
"3076" "2006-07" "Recreativo de Huelva" "Antonio Jes£s V†zquez Mu§oz" "Midfielder" 30 6
"3077" "2006-07" "Recreativo de Huelva" "Santiago Cazorla Gonz†lez" "Midfielder" 25 5
"3078" "2006-07" "Recreativo de Huelva" "Aitor Tornavaca Fern†ndez" "Midfielder" 14 1
"3079" "2006-07" "Recreativo de Huelva" "Emilio JosÇ Viqueira Moure" "Midfielder" 16 1
"3080" "2006-07" "Recreativo de Huelva" "Florent StÇphane Sinama Pongolle" "Forward" 12 12
"3081" "2006-07" "Recreativo de Huelva" "Ikechukwu Tongololiki Mawakavamba Jawarapawara Uche" "Forward" 16 8
"3082" "2006-07" "Recreativo de Huelva" "Juan Manuel G¢mez S†nchez" "Midfielder" 2 2
"3083" "2006-07" "Recreativo de Huelva" "CÇsar Arzo Amposta" "Defender" 16 0
"3084" "2006-07" "Recreativo de Huelva" "Rafael Barber Rodr°guez" "Midfielder" 13 0
"3085" "2006-07" "Recreativo de Huelva" "Laurentiu Dumitru Rosu" "Forward" 2 3
"3086" "2006-07" "Recreativo de Huelva" "Francisco Javier Garc°a Guerrero" "Forward" 4 7
"3087" "2006-07" "Recreativo de Huelva" "Hip¢lito Fern†ndez Serrano" "Midfielder" 16 0
"3088" "2006-07" "Recreativo de Huelva" "Pablo Amo Aguado" "Defender" 10 1
"3089" "2006-07" "Recreativo de Huelva" "Eduardo Moya Cantillo" "Midfielder" 13 0
"3090" "2006-07" "Recreativo de Huelva" "JosÇ Manuel Gonz†lez Ortiz" "Midfielder" 1 2
"3091" "2006-07" "Recreativo de Huelva" "Antonio S†nchez De la Calle" "Forward" 1 2
"3092" "2006-07" "Recreativo de Huelva" "Iago Bouz¢n Amoedo" "Defender" 1 0
"3094" "2006-07" "Getafe" "Cosmin Marius Contra" "Midfielder" 16 0
"3095" "2006-07" "Getafe" "Javier Paredes Arango" "Midfielder" 32 0
"3096" "2006-07" "Getafe" "David Belenguer Reverter" "Defender" 32 1
"3097" "2006-07" "Getafe" "Alexis Ruano Delgado" "Defender" 22 2
"3098" "2006-07" "Getafe" "Francisco Javier Casquero Paredes" "Midfielder" 27 5
"3099" "2006-07" "Getafe" "Fabio Celestini" "Midfielder" 33 1
"3100" "2006-07" "Getafe" "Mario GutiÇrrez Cotelo" "Midfielder" 19 1
"3101" "2006-07" "Getafe" "Ignacio PÇrez Santamaria" "Midfielder" 8 4
"3102" "2006-07" "Getafe" "Manuel Del Moral Fern†ndez" "Forward" 14 8
"3103" "2006-07" "Getafe" "Daniel Gonz†lez GÅiza" "Forward" 8 11
"3104" "2006-07" "Getafe" "Pablo Redondo Mart°nez" "Midfielder" 7 1
"3105" "2006-07" "Getafe" "David CortÇs Caballero" "Midfielder" 16 0
"3106" "2006-07" "Getafe" "Valent°n Sergio Pach¢n Mosquero" "Forward" 2 2
"3107" "2006-07" "Getafe" "RubÇn Mart°n Pulido" "Defender" 11 1
"3108" "2006-07" "Getafe" "µngel Manuel Vivar Dorado" "Midfielder" 2 1
"3109" "2006-07" "Getafe" "Francisco David Sousa Franquelo" "Forward" 1 0
"3110" "2006-07" "Getafe" "Alberto Aguilar Leiva" "Midfielder" 4 0
"3111" "2006-07" "Getafe" "Veljko Paunovic" "Midfielder" 2 0
"3112" "2006-07" "Getafe" "Manuel Tena L¢pez" "Defender" 7 0
"3113" "2006-07" "Getafe" "Maris Verpakovskis" "Forward" 1 1
"3115" "2006-07" "Getafe" "Lucas Mat°as Licht" "Midfielder" 3 0
"3116" "2006-07" "Racing de Santander" "Pablo Pinillos Caro" "Midfielder" 28 0
"3117" "2006-07" "Racing de Santander" "Lionel Sebasti†n Scaloni" "Defender" 21 1
"3118" "2006-07" "Racing de Santander" "RubÇn Gonz†lez Rocha" "Defender" 29 2
"3119" "2006-07" "Racing de Santander" "Ezequiel Marcelo Garay Gonz†lez" "Defender" 30 9
"3120" "2006-07" "Racing de Santander" "Gonzalo Colsa Albendea" "Midfielder" 21 4
"3121" "2006-07" "Racing de Santander" "V°ctor Javier A§ino Berm£dez" "Midfielder" 23 0
"3122" "2006-07" "Racing de Santander" "Felipe Melo De Carvalho" "Midfielder" 6 3
"3123" "2006-07" "Racing de Santander" "Pedro Munitis µlvarez" "Forward" 29 4
"3124" "2006-07" "Racing de Santander" "Nikola Zigic" "Forward" 19 11
"3125" "2006-07" "Racing de Santander" "„scar Serrano Rodr°guez" "Forward" 8 0
"3126" "2006-07" "Racing de Santander" "Javier µngel Balboa Osa" "Midfielder" 1 1
"3127" "2006-07" "Racing de Santander" "Oriol Lozano Farr†n" "Defender" 15 1
"3128" "2006-07" "Racing de Santander" "Cristian Osvaldo µlvarez Reyes" "Defender" 4 1
"3129" "2006-07" "Racing de Santander" "Luis Fern†ndez GutiÇrrez" "Midfielder" 15 0
"3131" "2006-07" "Racing de Santander" "Juan JosÇ Exp¢sito Ruiz" "Forward" 3 1
"3132" "2006-07" "Racing de Santander" "Christian Fern†ndez Salas" "Midfielder" 10 1
"3134" "2006-07" "Racing de Santander" "Pablo Alfaro Armengot" "Defender" 3 0
"3135" "2006-07" "Racing de Santander" "Sergio Matabuena Delgado" "Defender" 1 0
"3141" "2006-07" "Espanyol" "Francisco Javier Chica Torres" "Midfielder" 26 0
"3142" "2006-07" "Espanyol" "Daniel Jarque Gonz†lez" "Defender" 31 0
"3143" "2006-07" "Espanyol" "Marc Torrej¢n Moya" "Defender" 26 0
"3144" "2006-07" "Espanyol" "Jes£s Mar°a Lacruz G¢mez" "Defender" 18 0
"3145" "2006-07" "Espanyol" "Francisco Joaqu°n PÇrez Rufete" "Midfielder" 11 1
"3146" "2006-07" "Espanyol" "MoisÇs Hurtado PÇrez" "Midfielder" 23 1
"3147" "2006-07" "Espanyol" "Albert Riera Ortega" "Midfielder" 14 4
"3148" "2006-07" "Espanyol" "Iv†n De la Pe§a L¢pez" "Midfielder" 14 0
"3149" "2006-07" "Espanyol" "Luis Garc°a Fern†ndez" "Forward" 18 10
"3150" "2006-07" "Espanyol" "Ra£l Tamudo Montero" "Forward" 14 15
"3151" "2006-07" "Espanyol" "Ferr†n Corominas Telechea" "Forward" 9 4
"3152" "2006-07" "Espanyol" "Walter Gerardo Pandiani Urquiza" "Forward" 5 7
"3153" "2006-07" "Espanyol" "Pablo Javier Zabaleta Girod" "Midfielder" 13 0
"3154" "2006-07" "Espanyol" "Juan Velasco Damas" "Midfielder" 11 0
"3155" "2006-07" "Espanyol" "Jonatas Domingos" "Midfielder" 6 2
"3156" "2006-07" "Espanyol" "Mohammed El Yaagoubi Youbi" "Midfielder" 9 1
"3157" "2006-07" "Espanyol" "Eduardo Nascimento Costa" "Midfielder" 7 1
"3158" "2006-07" "Espanyol" "David Garc°a De la Cruz" "Midfielder" 2 0
"3159" "2006-07" "Espanyol" "Antonio µlvarez PÇrez" "Midfielder" 3 0
"3160" "2006-07" "Espanyol" "∑ngel Mart°nez Cervera" "Midfielder" 2 0
"3163" "2006-07" "Espanyol" "Fredson Camara Pereira" "Midfielder" 1 0
"3164" "2006-07" "Espanyol" "Albert Serr†n Polo" "Defender" 1 0
"3167" "2006-07" "Mallorca" "Fernando Varela Ramos" "Midfielder" 18 3
